Traffic_registration_point,Name,Road_reference,From,To,From_Date,From_Time,To_Date,To_Time,Year,Month,Day_of_Week,Vehicle_Type,Count
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-06-30 22:00:00,2021-07-31 22:00:00,2021-06-30,22:00:00,2021-07-31,22:00:00,2021,6,Wednesday,Light_Vehicles,9797
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-07-31 22:00:00,2021-08-31 22:00:00,2021-07-31,22:00:00,2021-08-31,22:00:00,2021,7,Saturday,Light_Vehicles,5277
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-07-31 22:00:00,2021-08-31 22:00:00,2021-07-31,22:00:00,2021-08-31,22:00:00,2021,7,Saturday,Light_Vehicles,5578
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-07-31 22:00:00,2021-08-31 22:00:00,2021-07-31,22:00:00,2021-08-31,22:00:00,2021,7,Saturday,Light_Vehicles,1029
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-07-31 22:00:00,2021-08-31 22:00:00,2021-07-31,22:00:00,2021-08-31,22:00:00,2021,7,Saturday,Light_Vehicles,5582
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-07-31 22:00:00,2021-08-31 22:00:00,2021-07-31,22:00:00,2021-08-31,22:00:00,2021,7,Saturday,Light_Vehicles,6302
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-07-31 22:00:00,2021-08-31 22:00:00,2021-07-31,22:00:00,2021-08-31,22:00:00,2021,7,Saturday,Light_Vehicles,11884
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-08-31 22:00:00,2021-09-30 22:00:00,2021-08-31,22:00:00,2021-09-30,22:00:00,2021,8,Tuesday,Light_Vehicles,5411
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-08-31 22:00:00,2021-09-30 22:00:00,2021-08-31,22:00:00,2021-09-30,22:00:00,2021,8,Tuesday,Light_Vehicles,5702
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-08-31 22:00:00,2021-09-30 22:00:00,2021-08-31,22:00:00,2021-09-30,22:00:00,2021,8,Tuesday,Light_Vehicles,1120
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-08-31 22:00:00,2021-09-30 22:00:00,2021-08-31,22:00:00,2021-09-30,22:00:00,2021,8,Tuesday,Light_Vehicles,5705
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-08-31 22:00:00,2021-09-30 22:00:00,2021-08-31,22:00:00,2021-09-30,22:00:00,2021,8,Tuesday,Light_Vehicles,6528
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-08-31 22:00:00,2021-09-30 22:00:00,2021-08-31,22:00:00,2021-09-30,22:00:00,2021,8,Tuesday,Light_Vehicles,12233
